track_id,artist,title,primary_genre,secondary_genre,current_subgenre,missing_subgenre_candidate,blocking_reason,evidence_summary
2082,Chris Stapleton,Chris Stapleton - Fire Away,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2083,Chris Stapleton,Chris Stapleton - Friendship,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2084,Chris Stapleton,Chris Stapleton - Hard Livin',Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2085,Chris Stapleton,Chris Stapleton - I Was Wrong,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2087,Chris Stapleton,Chris Stapleton - Millionaire,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2088,Chris Stapleton,Chris Stapleton - Nobody to Blame,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2089,Chris Stapleton,Chris Stapleton - Parachute,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2090,Chris Stapleton,Chris Stapleton - Second One To Know,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2091,Chris Stapleton,Chris Stapleton - Tryin To Untangle My Mind,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2174,Demun Jones,Demun Jones - Backyard Lullaby,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Demun Jones makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2178,Demun Jones,Demun Jones - My Town,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Demun Jones makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2180,Demun Jones,Demun Jones - Tannerite,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Demun Jones makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2182,Demun Jones,Demun Jones - Truck Music,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Demun Jones makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2742,Demun Jones,Upchurch  Demun Jones  - Campfire Cologne,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Demun Jones makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2856,Jelly Roll,Jelly Roll - Need a Favor,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Jelly Roll makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2529,Ryan Upchurch,Ryan Upchurch - Hollerboys,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Ryan Upchurch makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2537,Sara Evans,Sara Evans - Suds In The Bucket,Country,Pop,Country Pop,(none — reval needed),has_subgenre_needs_reval,"Has 'Country Pop', needs secondary recheck pass"
2527,Upchurch,Ryan Upchurch - Black Sheep,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Upchurch makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2528,Upchurch,Ryan Upchurch - Cowboy Movies,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Upchurch makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2530,Upchurch,Ryan Upchurch - Love Her Again,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Upchurch makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2531,Upchurch,Ryan Upchurch - Real Country,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Upchurch makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2532,Upchurch,Ryan Upchurch - Same Ol Same Ol,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Upchurch makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2770,Zac Brown Band,Zac Brown Band - Heavy Is The Head,Country,Pop,(null),(ambiguous),ambiguous_no_subgenre,"Zac Brown Band — Country→Pop, subgenre unclear (multiple styles)"
2838,Hopsin,Hopsin - Ill Mind of Hopsin 5,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Hopsin is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2217,Tom MacDonald,End Of The World - Tom MacDonald,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2538,Tom MacDonald,Save A Life - Tom MacDonald,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2548,Tom MacDonald,See God - Tom MacDonald,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2572,Tom MacDonald,Still Me - Tom MacDonald,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2573,Tom MacDonald,Still The One - Tom MacDonald,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2590,Tom MacDonald,The Machine - Tom MacDonald,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2595,Tom MacDonald,The System - Tom MacDonald,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2624,Tom MacDonald,Tom MacDonald -  Buttholes,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2626,Tom MacDonald,Tom MacDonald - American Dreamz,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2629,Tom MacDonald,Tom MacDonald - Angels,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2631,Tom MacDonald,Tom MacDonald - Average Boy,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2633,Tom MacDonald,Tom MacDonald - Best Rapper Ever,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2634,Tom MacDonald,Tom MacDonald - Castles,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2636,Tom MacDonald,Tom MacDonald - Dear Rappers,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2637,Tom MacDonald,Tom MacDonald - Dirty Money,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2638,Tom MacDonald,Tom MacDonald - End Of The World,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2639,Tom MacDonald,Tom MacDonald - Everybody Hates Me,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2641,Tom MacDonald,Tom MacDonald - Fighter,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2642,Tom MacDonald,Tom MacDonald - Freedom's Not For Sale,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2643,Tom MacDonald,Tom MacDonald - Freedoms Not For Sale,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2646,Tom MacDonald,Tom MacDonald - Gravestones,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2648,Tom MacDonald,Tom MacDonald - Hatred,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2649,Tom MacDonald,Tom MacDonald - Helluvit,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2652,Tom MacDonald,Tom MacDonald - I Dont Care,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2653,Tom MacDonald,Tom MacDonald - I Hate Hip Hop,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2654,Tom MacDonald,Tom MacDonald - I Wish,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2655,Tom MacDonald,Tom MacDonald - Im Corny,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2656,Tom MacDonald,Tom MacDonald - Im Sorry,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2657,Tom MacDonald,Tom MacDonald - Luck You,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2659,Tom MacDonald,Tom MacDonald - Money,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2660,Tom MacDonald,Tom MacDonald - My Fans,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2663,Tom MacDonald,Tom MacDonald - Names,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2664,Tom MacDonald,Tom MacDonald - No Lives Matter,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2666,Tom MacDonald,Tom MacDonald - No Response,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2667,Tom MacDonald,Tom MacDonald - People So Stupid,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2668,Tom MacDonald,Tom MacDonald - Politically Incorrect,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2671,Tom MacDonald,Tom MacDonald - Riot,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2672,Tom MacDonald,Tom MacDonald - Save A Life,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2675,Tom MacDonald,Tom MacDonald - See God,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2676,Tom MacDonald,Tom MacDonald - Sellout,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2677,Tom MacDonald,Tom MacDonald - Sheeple,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2680,Tom MacDonald,Tom MacDonald - Still Me,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2681,Tom MacDonald,Tom MacDonald - Still The One,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2682,Tom MacDonald,Tom MacDonald - The Machine,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2683,Tom MacDonald,Tom MacDonald - The Music Industry,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2685,Tom MacDonald,Tom MacDonald - The System,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2687,Tom MacDonald,Tom MacDonald - This House,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2690,Tom MacDonald,Tom MacDonald - Trying To Kill Me,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2691,Tom MacDonald,Tom MacDonald - Underdogs,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2693,Tom MacDonald,Tom MacDonald - Way Off,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2697,Tom MacDonald,Tom MacDonald - Wild Ones,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2698,Tom MacDonald,Tom MacDonald ft. DAX - Blame The Rappers,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2640,Tom MacDonald,Tom Macdonald - Fake Fans,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2768,Tom MacDonald,Wild Ones - Tom MacDonald,Hip-Hop,Rock,(null),Rap Rock,missing_hybrid_subgenre,"Tom MacDonald is a Hip-Hop artist who frequently incorporates rock instrumentation, aggressive guitar riffs, and rock vocal styles. Rap Rock is an established crossover subgenre. Not in DB subgenres table yet."
2706,Tone-Loc,Tone Loc - Wild Thing,Hip-Hop,Pop,(null),Pop Rap,missing_hybrid_subgenre,Tone-Loc — Hip-Hop primary with crossover Pop appeal. Pop Rap is already in the rule engine v1 but the subgenre does not exist in the DB table yet.
2841,Unknown,Dax - Temptation,Hip-Hop,Country,(null),(skip — placeholder),placeholder_artist,"Artist='Unknown', no reliable subgenre determination"
2645,Tom MacDonald,Tom MacDonald - Ghost,Pop,Rock,(null),(edge case),edge_case_low_volume,"Single track, Pop→Rock. No clear Pop subgenre fits."
2761,Weird Al Yankovic,Weird Al Yankovic - Word Crimes,Pop,Hip-Hop,(null),(comedy/parody),comedy_parody_edge,Weird Al is a parody artist. Comedy/Parody subgenre could be added but only 1 track. HOLD.
2221,Faith No More,Faith No More - Epic,Rock,Metal,Alternative,(none — reval needed),has_subgenre_needs_reval,"Has 'Alternative', needs secondary recheck pass"
2752,Van Zant,Van Zant - Help Somebody,Rock,Country,Classic Rock,(none — reval needed),has_subgenre_needs_reval,"Has 'Classic Rock', needs secondary recheck pass"
2753,Van Zant,Van Zant - Nobody Gonna Tell Me What to Do,Rock,Country,Classic Rock,(none — reval needed),has_subgenre_needs_reval,"Has 'Classic Rock', needs secondary recheck pass"
